,Dataset,Vectorizer,Classifier,Accuracy,Precision,Recall,Fscore
0,Amazon,CountVectorizer,NaiveBayes,0.8212121212121212,0.8197674418604651,0.834319526627219,0.8269794721407624
1,Amazon,CountVectorizer,Support Vector Machine,0.8090909090909091,0.8081395348837209,0.8224852071005917,0.81524926686217
2,Amazon,CountVectorizer,Decision Tree,0.7545454545454545,0.8098591549295775,0.6804733727810651,0.7395498392282958
3,Amazon,CountVectorizer,Random Forest,0.8,0.8503401360544217,0.7396449704142012,0.7911392405063291
4,Amazon,CountVectorizer,XGBoost,0.7181818181818181,0.8166666666666667,0.5798816568047337,0.6782006920415224
5,Amazon,CountVectorizer,logreg_classifier,0.8151515151515152,0.8552631578947368,0.7692307692307693,0.809968847352025
6,Amazon,Tfidf,NaiveBayes,0.8090909090909091,0.797752808988764,0.8402366863905325,0.8184438040345822
7,Amazon,Tfidf,Support Vector Machine,0.803030303030303,0.8466666666666667,0.7514792899408284,0.7962382445141065
8,Amazon,Tfidf,Decision Tree,0.7333333333333333,0.8045112781954887,0.6331360946745562,0.7086092715231788
9,Amazon,Tfidf,Random Forest,0.8090909090909091,0.8785714285714286,0.727810650887574,0.7961165048543689
10,Amazon,Tfidf,XGBoost,0.7303030303030303,0.8636363636363636,0.5621301775147929,0.6810035842293907
11,Amazon,Tfidf,logreg_classifier,0.8121212121212121,0.8741258741258742,0.7396449704142012,0.8012820512820513
12,IMDb,CountVectorizer,NaiveBayes,0.7813765182186235,0.8376068376068376,0.7368421052631579,0.7839999999999999
13,IMDb,CountVectorizer,Support Vector Machine,0.6963562753036437,0.7338709677419355,0.6842105263157895,0.708171206225681
14,IMDb,CountVectorizer,Decision Tree,0.611336032388664,0.6312056737588653,0.6691729323308271,0.6496350364963503
15,IMDb,CountVectorizer,Random Forest,0.7530364372469636,0.7727272727272727,0.7669172932330827,0.7698113207547169
16,IMDb,CountVectorizer,XGBoost,0.680161943319838,0.7142857142857143,0.6766917293233082,0.694980694980695
17,IMDb,CountVectorizer,logreg_classifier,0.7125506072874493,0.7421875,0.7142857142857143,0.7279693486590038
18,IMDb,Tfidf,NaiveBayes,0.7813765182186235,0.7925925925925926,0.8045112781954887,0.7985074626865671
19,IMDb,Tfidf,Support Vector Machine,0.7692307692307693,0.7638888888888888,0.8270676691729323,0.7942238267148014
20,IMDb,Tfidf,Decision Tree,0.6072874493927125,0.6475409836065574,0.5939849624060151,0.6196078431372549
21,IMDb,Tfidf,Random Forest,0.6923076923076923,0.7111111111111111,0.7218045112781954,0.7164179104477612
22,IMDb,Tfidf,XGBoost,0.6234817813765182,0.6515151515151515,0.6466165413533834,0.6490566037735849
23,IMDb,Tfidf,logreg_classifier,0.757085020242915,0.7517241379310344,0.8195488721804511,0.7841726618705035
24,Yelp,CountVectorizer,NaiveBayes,0.8151515151515152,0.7719298245614035,0.8571428571428571,0.8123076923076924
25,Yelp,CountVectorizer,Support Vector Machine,0.793939393939394,0.7529411764705882,0.8311688311688312,0.7901234567901235
26,Yelp,CountVectorizer,Decision Tree,0.7333333333333333,0.7391304347826086,0.6623376623376623,0.6986301369863014
27,Yelp,CountVectorizer,Random Forest,0.803030303030303,0.779874213836478,0.8051948051948052,0.7923322683706071
28,Yelp,CountVectorizer,XGBoost,0.7545454545454545,0.7829457364341085,0.6558441558441559,0.7137809187279152
29,Yelp,CountVectorizer,logreg_classifier,0.8242424242424242,0.7962962962962963,0.8376623376623377,0.8164556962025317
30,Yelp,Tfidf,NaiveBayes,0.8212121212121212,0.7624309392265194,0.8961038961038961,0.8238805970149253
31,Yelp,Tfidf,Support Vector Machine,0.8515151515151516,0.8260869565217391,0.8636363636363636,0.8444444444444444
32,Yelp,Tfidf,Decision Tree,0.7424242424242424,0.7315436241610739,0.7077922077922078,0.7194719471947194
33,Yelp,Tfidf,Random Forest,0.8121212121212121,0.7987012987012987,0.7987012987012987,0.7987012987012987
34,Yelp,Tfidf,XGBoost,0.7787878787878788,0.7913669064748201,0.7142857142857143,0.750853242320819
35,Yelp,Tfidf,logreg_classifier,0.8151515151515152,0.7818181818181819,0.8376623376623377,0.8087774294670846
36,Tweeter,CountVectorizer,NaiveBayes,0.9664596273291925,0.6363636363636364,0.23333333333333334,0.34146341463414637
37,Tweeter,CountVectorizer,Support Vector Machine,0.9925465838509316,0.8529411764705882,0.9666666666666667,0.90625
38,Tweeter,CountVectorizer,Decision Tree,0.9950310559006211,0.9333333333333333,0.9333333333333333,0.9333333333333333
39,Tweeter,CountVectorizer,Random Forest,0.9701863354037267,1.0,0.2,0.33333333333333337
40,Tweeter,CountVectorizer,XGBoost,0.9950310559006211,0.9333333333333333,0.9333333333333333,0.9333333333333333
41,Tweeter,CountVectorizer,logreg_classifier,0.991304347826087,0.9259259259259259,0.8333333333333334,0.8771929824561403
42,Tweeter,Tfidf,NaiveBayes,0.9627329192546584,0.0,0.0,0.0
43,Tweeter,Tfidf,Support Vector Machine,0.9937888198757764,0.9032258064516129,0.9333333333333333,0.9180327868852459
44,Tweeter,Tfidf,Decision Tree,0.9950310559006211,0.90625,0.9666666666666667,0.9354838709677419
45,Tweeter,Tfidf,Random Forest,0.968944099378882,1.0,0.16666666666666666,0.2857142857142857
46,Tweeter,Tfidf,XGBoost,0.9937888198757764,0.9032258064516129,0.9333333333333333,0.9180327868852459
47,Tweeter,Tfidf,logreg_classifier,0.9639751552795031,1.0,0.03333333333333333,0.06451612903225806
