,DataSet,Vectorizer,Stopword removing,Punctuation removing,Morphing,Classifier,Accuracy,Precision,Recall,Fscore
0,Amazon,Tfidf,on,on,lemmitizer,NaiveBayes,0.7787878787878788,0.7474226804123711,0.8579881656804734,0.7988980716253443
1,Amazon,Tfidf,on,on,stemmer,NaiveBayes,0.8090909090909091,0.7676767676767676,0.8994082840236687,0.8283378746594006
2,Amazon,Tfidf,on,on,turned off,NaiveBayes,0.793939393939394,0.7643979057591623,0.863905325443787,0.8111111111111111
3,Amazon,Tfidf,off,on,lemmitizer,NaiveBayes,0.793939393939394,0.7759562841530054,0.8402366863905325,0.8068181818181818
4,Amazon,Tfidf,off,on,stemmer,NaiveBayes,0.8212121212121212,0.7956989247311828,0.8757396449704142,0.8338028169014083
5,Amazon,Tfidf,off,on,turned off,NaiveBayes,0.803030303030303,0.7921348314606742,0.834319526627219,0.8126801152737751
6,Amazon,Tfidf,on,off,lemmitizer,NaiveBayes,0.7818181818181819,0.7566137566137566,0.8461538461538461,0.7988826815642458
7,Amazon,Tfidf,on,off,stemmer,NaiveBayes,0.7909090909090909,0.75,0.8875739644970414,0.8130081300813007
8,Amazon,Tfidf,on,off,turned off,NaiveBayes,0.8090909090909091,0.7849462365591398,0.863905325443787,0.8225352112676056
9,Amazon,Tfidf,off,off,lemmitizer,NaiveBayes,0.803030303030303,0.7888888888888889,0.8402366863905325,0.813753581661891
10,Amazon,Tfidf,off,off,stemmer,NaiveBayes,0.8303030303030303,0.8087431693989071,0.8757396449704142,0.8409090909090909
11,Amazon,Tfidf,off,off,turned off,NaiveBayes,0.803030303030303,0.7921348314606742,0.834319526627219,0.8126801152737751
12,Amazon,Count Vectorizer,on,on,lemmitizer,NaiveBayes,0.7848484848484848,0.7401960784313726,0.893491124260355,0.8096514745308312
13,Amazon,Count Vectorizer,on,on,stemmer,NaiveBayes,0.8212121212121212,0.7777777777777778,0.9112426035502958,0.8392370572207084
14,Amazon,Count Vectorizer,on,on,turned off,NaiveBayes,0.803030303030303,0.76,0.8994082840236687,0.8238482384823849
15,Amazon,Count Vectorizer,off,on,lemmitizer,NaiveBayes,0.793939393939394,0.7821229050279329,0.8284023668639053,0.8045977011494252
16,Amazon,Count Vectorizer,off,on,stemmer,NaiveBayes,0.8242424242424242,0.8066298342541437,0.863905325443787,0.8342857142857144
17,Amazon,Count Vectorizer,off,on,turned off,NaiveBayes,0.803030303030303,0.7954545454545454,0.8284023668639053,0.8115942028985507
18,Amazon,Count Vectorizer,on,off,lemmitizer,NaiveBayes,0.7818181818181819,0.7487179487179487,0.863905325443787,0.8021978021978022
19,Amazon,Count Vectorizer,on,off,stemmer,NaiveBayes,0.8090909090909091,0.7731958762886598,0.8875739644970414,0.8264462809917356
20,Amazon,Count Vectorizer,on,off,turned off,NaiveBayes,0.803030303030303,0.776595744680851,0.863905325443787,0.8179271708683472
21,Amazon,Count Vectorizer,off,off,lemmitizer,NaiveBayes,0.7909090909090909,0.7873563218390804,0.8106508875739645,0.7988338192419825
22,Amazon,Count Vectorizer,off,off,stemmer,NaiveBayes,0.8333333333333334,0.8202247191011236,0.863905325443787,0.8414985590778098
23,Amazon,Count Vectorizer,off,off,turned off,NaiveBayes,0.8090909090909091,0.8011363636363636,0.834319526627219,0.817391304347826
24,Amazon,Tfidf,on,on,lemmitizer,Support Vector Machine,0.7636363636363637,0.7898089171974523,0.7337278106508875,0.7607361963190183
25,Amazon,Tfidf,on,on,stemmer,Support Vector Machine,0.7909090909090909,0.8048780487804879,0.7810650887573964,0.7927927927927928
26,Amazon,Tfidf,on,on,turned off,Support Vector Machine,0.7818181818181819,0.8299319727891157,0.7218934911242604,0.7721518987341772
27,Amazon,Tfidf,off,on,lemmitizer,Support Vector Machine,0.7909090909090909,0.8333333333333334,0.7396449704142012,0.7836990595611285
28,Amazon,Tfidf,off,on,stemmer,Support Vector Machine,0.8090909090909091,0.8354430379746836,0.7810650887573964,0.8073394495412844
29,Amazon,Tfidf,off,on,turned off,Support Vector Machine,0.8121212121212121,0.8496732026143791,0.7692307692307693,0.8074534161490683
30,Amazon,Tfidf,on,off,lemmitizer,Support Vector Machine,0.7575757575757576,0.8111888111888111,0.6863905325443787,0.7435897435897435
31,Amazon,Tfidf,on,off,stemmer,Support Vector Machine,0.796969696969697,0.8445945945945946,0.7396449704142012,0.7886435331230284
