,Train dataset,Test dataset,Vectorizer,Classifier,Accuracy,Precision,Recall,Fscore
0,Amazon,Amazon,CountVectorizer,NaiveBayes,0.803030303030303,0.8209876543209876,0.7869822485207101,0.8036253776435046
1,Amazon,IMDb,CountVectorizer,NaiveBayes,0.6720647773279352,0.7549019607843137,0.5789473684210527,0.6553191489361703
2,Amazon,Yelp,CountVectorizer,NaiveBayes,0.703030303030303,0.71875,0.5974025974025974,0.652482269503546
3,Amazon,Tweeter,CountVectorizer,NaiveBayes,0.8298136645962733,0.0916030534351145,0.4,0.14906832298136646
4,Amazon,Amazon,CountVectorizer,Support Vector Machine,0.8090909090909091,0.8081395348837209,0.8224852071005917,0.81524926686217
5,Amazon,IMDb,CountVectorizer,Support Vector Machine,0.6477732793522267,0.7129629629629629,0.5789473684210527,0.6390041493775934
6,Amazon,Yelp,CountVectorizer,Support Vector Machine,0.7333333333333333,0.7291666666666666,0.6818181818181818,0.7046979865771812
7,Amazon,Tweeter,CountVectorizer,Support Vector Machine,0.7093167701863354,0.075,0.6,0.13333333333333333
8,Amazon,Amazon,CountVectorizer,Decision Tree,0.7575757575757576,0.8345864661654135,0.6568047337278107,0.7350993377483444
9,Amazon,IMDb,CountVectorizer,Decision Tree,0.5789473684210527,0.6526315789473685,0.46616541353383456,0.543859649122807
10,Amazon,Yelp,CountVectorizer,Decision Tree,0.6727272727272727,0.7169811320754716,0.4935064935064935,0.5846153846153845
11,Amazon,Tweeter,CountVectorizer,Decision Tree,0.7652173913043478,0.055865921787709494,0.3333333333333333,0.09569377990430622
12,Amazon,Amazon,CountVectorizer,Random Forest,0.806060606060606,0.8431372549019608,0.7633136094674556,0.8012422360248448
13,Amazon,IMDb,CountVectorizer,Random Forest,0.6518218623481782,0.7901234567901234,0.48120300751879697,0.5981308411214953
14,Amazon,Yelp,CountVectorizer,Random Forest,0.7272727272727273,0.7666666666666667,0.5974025974025974,0.6715328467153285
15,Amazon,Tweeter,CountVectorizer,Random Forest,0.8372670807453416,0.10852713178294573,0.4666666666666667,0.17610062893081763
16,Amazon,Amazon,CountVectorizer,XGBoost,0.7181818181818181,0.8166666666666667,0.5798816568047337,0.6782006920415224
17,Amazon,IMDb,CountVectorizer,XGBoost,0.5587044534412956,0.6875,0.3308270676691729,0.4467005076142132
18,Amazon,Yelp,CountVectorizer,XGBoost,0.6848484848484848,0.8205128205128205,0.4155844155844156,0.5517241379310346
19,Amazon,Tweeter,CountVectorizer,XGBoost,0.8944099378881988,0.1232876712328767,0.3,0.17475728155339804
20,Amazon,Amazon,CountVectorizer,logreg_classifier,0.8151515151515152,0.8552631578947368,0.7692307692307693,0.809968847352025
21,Amazon,IMDb,CountVectorizer,logreg_classifier,0.631578947368421,0.75,0.47368421052631576,0.5806451612903226
22,Amazon,Yelp,CountVectorizer,logreg_classifier,0.7090909090909091,0.7457627118644068,0.5714285714285714,0.6470588235294118
23,Amazon,Tweeter,CountVectorizer,logreg_classifier,0.8248447204968944,0.10638297872340426,0.5,0.17543859649122806
24,Amazon,Amazon,Tfidf,NaiveBayes,0.8181818181818182,0.8044692737430168,0.8520710059171598,0.8275862068965518
25,Amazon,IMDb,Tfidf,NaiveBayes,0.680161943319838,0.78125,0.5639097744360902,0.6550218340611355
26,Amazon,Yelp,Tfidf,NaiveBayes,0.7272727272727273,0.7424242424242424,0.6363636363636364,0.6853146853146853
27,Amazon,Tweeter,Tfidf,NaiveBayes,0.8186335403726708,0.09722222222222222,0.4666666666666667,0.16091954022988508
28,Amazon,Amazon,Tfidf,Support Vector Machine,0.806060606060606,0.8387096774193549,0.7692307692307693,0.8024691358024693
29,Amazon,IMDb,Tfidf,Support Vector Machine,0.5910931174089069,0.7352941176470589,0.37593984962406013,0.4975124378109452
30,Amazon,Yelp,Tfidf,Support Vector Machine,0.7090909090909091,0.7636363636363637,0.5454545454545454,0.6363636363636364
31,Amazon,Tweeter,Tfidf,Support Vector Machine,0.8993788819875776,0.13043478260869565,0.3,0.18181818181818182
32,Amazon,Amazon,Tfidf,Decision Tree,0.7393939393939394,0.7577639751552795,0.7218934911242604,0.7393939393939395
33,Amazon,IMDb,Tfidf,Decision Tree,0.6234817813765182,0.696078431372549,0.5338345864661654,0.6042553191489363
34,Amazon,Yelp,Tfidf,Decision Tree,0.6878787878787879,0.6946564885496184,0.5909090909090909,0.6385964912280702
35,Amazon,Tweeter,Tfidf,Decision Tree,0.7540372670807454,0.05319148936170213,0.3333333333333333,0.09174311926605504
36,Amazon,Amazon,Tfidf,Random Forest,0.7818181818181819,0.8344827586206897,0.7159763313609467,0.7707006369426751
37,Amazon,IMDb,Tfidf,Random Forest,0.5991902834008097,0.7575757575757576,0.37593984962406013,0.5025125628140704
38,Amazon,Yelp,Tfidf,Random Forest,0.7,0.7350427350427351,0.5584415584415584,0.6346863468634686
39,Amazon,Tweeter,Tfidf,Random Forest,0.8919254658385093,0.1095890410958904,0.26666666666666666,0.1553398058252427
40,Amazon,Amazon,Tfidf,XGBoost,0.7363636363636363,0.8596491228070176,0.5798816568047337,0.6925795053003534
41,Amazon,IMDb,Tfidf,XGBoost,0.5668016194331984,0.6857142857142857,0.3609022556390977,0.4729064039408867
42,Amazon,Yelp,Tfidf,XGBoost,0.7,0.8571428571428571,0.42857142857142855,0.5714285714285714
43,Amazon,Tweeter,Tfidf,XGBoost,0.8807453416149068,0.07692307692307693,0.2,0.1111111111111111
44,Amazon,Amazon,Tfidf,logreg_classifier,0.8,0.8601398601398601,0.727810650887574,0.7884615384615384
45,Amazon,IMDb,Tfidf,logreg_classifier,0.5748987854251012,0.7413793103448276,0.3233082706766917,0.4502617801047121
46,Amazon,Yelp,Tfidf,logreg_classifier,0.7090909090909091,0.8372093023255814,0.4675324675324675,0.6
47,Amazon,Tweeter,Tfidf,logreg_classifier,0.9416149068322981,0.18518518518518517,0.16666666666666666,0.17543859649122806
48,IMDb,Amazon,CountVectorizer,NaiveBayes,0.6636363636363637,0.6726190476190477,0.6686390532544378,0.6706231454005935
49,IMDb,IMDb,CountVectorizer,NaiveBayes,0.7894736842105263,0.8292682926829268,0.7669172932330827,0.796875
50,IMDb,Yelp,CountVectorizer,NaiveBayes,0.6606060606060606,0.6590909090909091,0.564935064935065,0.6083916083916084
51,IMDb,Tweeter,CountVectorizer,NaiveBayes,0.6173913043478261,0.05161290322580645,0.5333333333333333,0.09411764705882353
52,IMDb,Amazon,CountVectorizer,Support Vector Machine,0.6878787878787879,0.746268656716418,0.591715976331361,0.6600660066006601
53,IMDb,IMDb,CountVectorizer,Support Vector Machine,0.6963562753036437,0.7338709677419355,0.6842105263157895,0.708171206225681
54,IMDb,Yelp,CountVectorizer,Support Vector Machine,0.6696969696969697,0.6771653543307087,0.5584415584415584,0.6120996441281139
55,IMDb,Tweeter,CountVectorizer,Support Vector Machine,0.5962732919254659,0.06231454005934718,0.7,0.11444141689373295
56,IMDb,Amazon,CountVectorizer,Decision Tree,0.5969696969696969,0.6323529411764706,0.5088757396449705,0.5639344262295083
57,IMDb,IMDb,CountVectorizer,Decision Tree,0.5991902834008097,0.625,0.6390977443609023,0.6319702602230484
58,IMDb,Yelp,CountVectorizer,Decision Tree,0.5606060606060606,0.5302013422818792,0.512987012987013,0.5214521452145214
59,IMDb,Tweeter,CountVectorizer,Decision Tree,0.5304347826086957,0.05612244897959184,0.7333333333333333,0.1042654028436019
60,IMDb,Amazon,CountVectorizer,Random Forest,0.6878787878787879,0.7538461538461538,0.5798816568047337,0.6555183946488294
61,IMDb,IMDb,CountVectorizer,Random Forest,0.6842105263157895,0.7310924369747899,0.6541353383458647,0.6904761904761905
62,IMDb,Yelp,CountVectorizer,Random Forest,0.6666666666666666,0.680327868852459,0.538961038961039,0.601449275362319
63,IMDb,Tweeter,CountVectorizer,Random Forest,0.5962732919254659,0.05970149253731343,0.6666666666666666,0.10958904109589042
64,IMDb,Amazon,CountVectorizer,XGBoost,0.6454545454545455,0.6884057971014492,0.5621301775147929,0.6188925081433224
65,IMDb,IMDb,CountVectorizer,XGBoost,0.680161943319838,0.7142857142857143,0.6766917293233082,0.694980694980695
66,IMDb,Yelp,CountVectorizer,XGBoost,0.5848484848484848,0.5602836879432624,0.512987012987013,0.535593220338983
67,IMDb,Tweeter,CountVectorizer,XGBoost,0.5701863354037268,0.05367231638418079,0.6333333333333333,0.09895833333333333
68,IMDb,Amazon,CountVectorizer,logreg_classifier,0.6848484848484848,0.7304964539007093,0.6094674556213018,0.6645161290322581
69,IMDb,IMDb,CountVectorizer,logreg_classifier,0.7125506072874493,0.7421875,0.7142857142857143,0.7279693486590038
